date,begin,end,isprod
2022-05-04,2022-05-04 21:18:00,2022-05-04 22:33:00,1
2022-05-04,2022-05-04 19:32:00,2022-05-04 21:18:00,0
2022-05-04,2022-05-04 19:11:00,2022-05-04 19:32:00,2
2022-05-04,2022-05-04 18:52:00,2022-05-04 19:11:00,2
2022-05-04,2022-05-04 17:09:00,2022-05-04 18:52:00,1
2022-05-04,2022-05-04 17:07:00,2022-05-04 17:09:00,0
2022-05-04,2022-05-04 16:05:00,2022-05-04 17:07:00,1
2022-05-04,2022-05-04 15:44:00,2022-05-04 16:05:00,1
2022-05-04,2022-05-04 15:18:00,2022-05-04 15:44:00,1
2022-05-04,2022-05-04 15:08:00,2022-05-04 15:18:00,2
2022-05-04,2022-05-04 14:51:00,2022-05-04 15:08:00,1
2022-05-04,2022-05-04 14:48:00,2022-05-04 14:51:00,2
2022-05-04,2022-05-04 14:32:00,2022-05-04 14:48:00,1
2022-05-04,2022-05-04 14:16:00,2022-05-04 14:32:00,1
2022-05-04,2022-05-04 14:08:00,2022-05-04 14:15:00,2
2022-05-04,2022-05-04 13:32:00,2022-05-04 14:08:00,2
2022-05-04,2022-05-04 13:16:00,2022-05-04 13:31:00,2
